datetime,date
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
61.0,61.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
63.0,63.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
69.0,69.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
68.0,68.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
65.0,65.0
65.0,65.0
65.0,65.0
66.0,66.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
66.0,66.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
66.0,66.0
66.0,66.0
65.0,65.0
64.0,64.0
64.0,64.0
64.0,64.0
64.0,64.0
65.0,65.0
65.0,65.0
65.0,65.0
65.0,65.0
66.0,66.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
68.0,68.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
67.0,67.0
66.0,66.0
66.0,66.0
66.0,66.0
65.0,65.0
65.0,65.0
65.0,
65.0,
